70 98
6 66
71 98
79 33
70 88
7 29
54 16
100 15
70 46
21 93
62 8
81 2
60 35
66 63
43 36
96 54
11 10
16 94
95 10
26 78
61 29
47 97
35 12
73 74
39 68
54 62
54 79
16 57
69 36
16 20
38 63
68 22
81 86
9 72
8 29
15 3
18 56
58 67
64 7
16 45
12 89
4 73
37 30
11 60
24 71
73 29
100 70
61 45
17 79
61 98
55 28
1 19
100 14
37 27
49 9
11 95
93 47
2 90
59 4
77 40
2 16
99 33
57 86
67 61
85 71
66 7
4 19
37 91
82 100
18 7
54 10
31 72
41 53
71 89
69 93
26 63
13 98
75 34
32 18
78 79
14 11
4 4
87 34
5 57
82 41
99 22
72 42
13 84
87 51
85 94
50 77
43 1
51 24
37 64
25 95
69 47
22 96
40 17
42 62
32 7
