52 81
65 93
15 69
98 71
72 53
87 6
93 7
31 48
2 33
32 18
76 10
23 91
51 72
79 76
79 33
90 43
41 58
57 6
37 89
75 6
97 7
92 32
11 68
53 79
77 41
50 62
8 62
91 82
4 70
22 4
89 86
72 60
35 79
13 61
53 19
37 82
29 77
99 7
9 50
74 31
22 13
56 1
43 23
30 33
34 66
87 35
25 63
22 83
56 35
87 26
38 37
86 30
35 51
17 96
3 70
29 28
65 31
56 75
64 87
7 72
12 35
51 8
40 56
68 54
25 59
99 16
51 15
6 69
23 24
22 36
1 97
59 42
63 11
97 7
89 7
15 95
11 23
98 81
14 78
94 25
24 100
39 90
41 74
89 12
45 83
71 72
82 70
62 60
71 82
14 97
29 100
80 5
91 36
95 62
5 91
51 23
69 8
37 17
41 62
75 1
2 7
14 78
46 33
66 1
96 92
55 38
29 96
5 65
45 98
23 55
89 86
35 50
81 68
83 49
38 55
11 3
34 68
17 57
62 19
10 71
71 73
1 24
34 44
94 60
86 50
66 97
7 13
45 61
96 62
15 59
48 83
9 68
67 47
4 69
62 49
81 51
61 17
12 31
74 47
76 33
70 79
70 32
56 11
20 38
9 86
18 52
98 12
98 44
15 59
84 77
39 79
76 83
81 14
48 31
61 29
61 86
68 70
7 88
29 64
84 61
6 23
10 9
31 64
18 64
34 19
4 54
7 51
18 49
18 98
98 75
28 15
80 22
54 16
84 13
57 74
36 71
83 26
79 5
2 63
87 67
45 26
11 88
50 84
46 34
23 43
55 66
56 96
20 93
23 40
75 37
14 19
37 64
71 42
32 96
52 96
94 72
58 54
89 59
23 15
97 50
80 81
25 12
98 3
6 51
19 70
42 92
80 52
7 68
70 65
6 49
36 86
56 14
91 75
63 14
75 2
98 59
50 94
42 15
65 82
33 10
80 65
20 39
78 63
83 98
100 46
43 77
90 28
100 71
13 15
78 86
52 8
90 63
79 82
19 100
35 3
100 37
67 90
54 17
5 78
15 16
82 29
29 38
13 43
81 77
82 75
94 8
48 57
88 85
13 74
34 32
33 64
79 30
75 25
60 62
26 94
33 44
58 52
96 82
98 68
48 1
97 100
56 20
71 12
84 92
63 77
57 69
40 85
36 21
16 78
10 86
30 64
94 38
70 17
31 79
1 25
73 87
94 13
14 42
30 35
97 82
81 26
19 68
3 66
4 71
3 73
39 14
47 8
84 45
32 85
63 28
86 39
48 15
49 51
94 3
75 49
78 14
70 16
72 77
5 35
89 74
29 39
71 6
39 53
99 29
11 88
47 2
18 42
63 57
98 24
7 48
46 38
17 85
6 80
5 54
20 37
16 29
35 35
34 90
23 81
24 48
34 56
8 77
85 73
94 17
22 5
72 7
92 69
71 85
92 11
84 45
19 31
2 31
19 84
17 49
83 27
81 14
8 6
28 17
72 8
63 16
49 38
31 9
67 81
20 2
78 9
82 25
100 43
27 29
38 56
24 35
58 93
28 20
57 32
37 21
46 95
53 68
20 56
64 100
60 32
94 98
62 59
82 55
44 62
42 32
30 77
37 34
88 88
41 21
85 69
37 52
51 55
72 27
58 94
51 41
36 39
41 54
10 65
18 14
23 60
13 19
69 60
4 51
70 54
24 13
29 58
74 72
88 23
75 14
3 11
55 15
77 41
87 94
8 25
22 22
77 92
99 38
10 26
81 63
58 30
24 67
53 47
87 77
82 61
63 71
49 67
39 41
83 29
53 27
8 68
93 79
45 31
33 58
82 71
7 68
22 89
98 2
74 16
74 27
71 94
39 71
87 95
72 99
15 37
89 40
46 7
18 50
75 6
73 8
78 10
23 12
58 88
95 79
38 12
20 93
40 23
20 58
82 29
59 11
13 3
41 33
46 34
45 32
34 44
31 59
42 21
7 62
81 42
19 49
60 24
22 72
14 7
100 15
1 49
17 51
18 87
49 83
56 29
90 10
81 96
88 9
87 90
26 67
16 87
45 4
41 16
75 46
13 31
78 20
61 46
20 3
8 63
53 63
10 52
6 17
37 14
36 71
64 70
7 4
25 80
59 61
79 30
59 14
76 21
97 56
72 7
83 27
95 41
50 74
65 49
28 59
95 6
39 20
94 2
81 58
82 92
69 46
85 25
86 20
77 15
40 39
